16/03/2020 21:09:16.25 All tests completed: 2 passed, 0 advisory, 4 failed. 
16/03/2020 22:14:35.56 All tests completed: 2 passed, 0 advisory, 4 failed. 
16/03/2020 22:22:01.07 All tests completed: 1 passed, 0 advisory, 1 failed. 
16/03/2020 22:25:53.01 All tests completed: 2 passed, 0 advisory, 4 failed. 
17/03/2020 12:57:46.91 All tests completed: 2 passed, 0 advisory, 4 failed. 
17/03/2020 13:00:15.06 All tests completed: 3 passed, 0 advisory, 3 failed. 
17/03/2020 13:01:16.65 All tests completed: 3 passed, 0 advisory, 3 failed. 
17/03/2020 13:09:52.06 All tests completed: 3 passed, 0 advisory, 3 failed. 
17/03/2020 13:15:12.58 All tests completed: 3 passed, 0 advisory, 3 failed. 
17/03/2020 13:19:06.88 All tests completed: 3 passed, 0 advisory, 3 failed. 
17/03/2020 13:21:01.86 All tests completed: 3 passed, 0 advisory, 3 failed. 
17/03/2020 17:16:36.98 All tests completed: 1 passed, 0 advisory, 1 failed. 
17/03/2020 17:16:47.52 All tests completed: 1 passed, 0 advisory, 1 failed. 
17/03/2020 17:17:15.11 All tests completed: 3 passed, 0 advisory, 3 failed. 
17/03/2020 17:18:43.29 All tests completed: 5 passed, 0 advisory, 1 failed. 
